,INDEX,TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
0,1,3,3.2,1.16,0.98,54.2,0.5670000000000001,,268.0,0.9928,3.33,0.59,9.9,0,8,2.0
1,2,3,4.5,0.16,0.81,26.1,0.425,15.0,327.0,1.0279200000000002,3.38,0.7,,-1,7,3.0
2,4,5,7.1,2.64,0.88,14.8,0.037000000000000005,214.0,142.0,0.99518,3.12,0.48,22.0,-1,8,3.0
3,5,3,5.7,0.385,0.04,18.8,0.425,22.0,115.0,0.9964,2.24,1.83,6.2,-1,6,1.0
4,6,4,8.0,0.33,1.26,9.4,,167.0,108.0,0.9945700000000001,3.12,1.77,13.7,0,9,2.0
5,7,0,11.3,0.32,0.59,2.2,0.556,37.0,15.0,0.9994,3.2,1.29,15.4,0,11,
6,8,0,7.7,0.29,0.4,21.5,0.06,287.0,156.0,0.99572,3.49,1.21,10.3,0,8,
7,11,4,6.5,1.22,0.34,1.4,0.04,523.0,551.0,1.03236,3.2,,11.6,1,7,3.0
8,12,3,14.8,0.27,1.05,11.25,0.006999999999999999,213.0,,0.9962,4.93,0.26,15.0,0,6,
9,13,6,5.5,0.22,0.39,1.8,0.27699999999999997,62.0,180.0,0.94724,3.09,0.75,12.6,0,8,4.0
10,14,0,17.2,0.52,0.15,33.8,0.022000000000000002,551.0,65.0,0.9934,4.31,0.56,13.1,1,5,1.0
11,15,4,9.0,0.22,0.49,10.4,0.15,,195.0,1.05918,3.01,0.4,10.2,0,10,2.0
12,16,3,6.0,0.33,1.06,3.0,0.518,5.0,378.0,0.9664299999999999,3.55,0.86,3.9,1,7,2.0
13,17,7,14.9,0.32,0.34,1.3,0.042,20.0,,0.9552299999999999,2.93,2.16,12.0,2,8,3.0
14,19,4,21.8,0.51,1.83,2.9,0.165,49.0,45.0,0.9974,6.02,2.23,12.1,0,9,
15,20,0,5.7,0.5,0.11,6.1,0.071,234.0,331.0,0.9978,3.35,,6.8,0,8,
16,22,0,7.9,0.6,0.06,50.4,0.069,15.0,339.0,0.9964,3.3,0.46,3.9,1,9,
17,23,4,1.3,0.22,2.95,53.0,0.541,85.0,266.0,0.99672,3.61,0.82,10.0,0,8,3.0
18,24,5,10.0,0.23,0.27,14.1,0.033,188.0,229.0,0.9988,3.14,0.88,11.0,1,11,2.0
19,25,4,6.8,0.475,0.2,50.75,0.047,88.0,508.0,0.99403,3.23,0.35,18.3,-1,8,2.0
20,26,3,5.8,0.76,0.33,26.0,0.195,87.0,283.0,0.9885,3.07,0.56,11.4,-1,6,1.0
21,27,2,6.5,0.24,0.24,18.2,0.182,15.0,60.0,1.00916,3.19,1.01,9.8,-1,7,1.0
22,28,3,7.1,0.97,0.25,11.2,0.135,32.0,180.0,1.00278,3.14,0.42,9.5,0,8,1.0
23,29,4,4.0,0.35,0.67,4.2,0.33299999999999996,257.0,126.0,0.98345,3.19,1.7,6.2,1,8,
24,32,4,11.3,0.17,0.34,15.6,0.044000000000000004,330.0,139.0,0.9975200000000001,3.06,3.83,9.1,0,7,2.0
25,33,0,2.7,1.02,0.53,44.0,0.174,60.0,72.0,0.99519,3.18,0.4,15.2,-1,7,
26,34,4,6.4,2.21,0.56,40.4,0.055,27.0,166.0,1.04577,1.77,3.12,9.1,1,7,2.0
27,35,6,8.3,2.46,0.27,13.2,0.036000000000000004,31.0,,0.99408,1.95,0.02,13.0,1,7,4.0
28,36,4,8.0,0.01,1.1,44.8,0.35,17.0,129.0,1.03564,3.2,,16.6,0,9,2.0
29,38,3,7.4,0.36,0.06,33.8,0.365,135.0,39.0,0.99615,4.05,0.48,16.0,-1,8,1.0
30,40,4,5.7,0.25,0.27,10.8,0.05,58.0,243.0,0.9564299999999999,3.1,0.21,9.8,0,6,3.0
31,41,0,22.2,0.34,0.49,,0.073,56.0,348.0,0.9996700000000001,4.08,0.66,6.5,-1,14,1.0
32,42,0,3.8,0.28,1.2,16.2,0.048,44.0,147.0,0.9972,3.3,0.52,2.1,0,6,
33,43,3,7.9,0.38,1.45,8.0,0.24,21.0,138.0,0.9979600000000001,3.52,0.01,15.9,0,9,1.0
34,44,4,7.9,0.56,0.72,58.8,0.92,127.0,318.0,0.9990399999999999,3.05,,9.8,1,8,1.0
35,45,5,14.8,1.17,0.09,1.5,0.027000000000000003,166.0,,0.99,3.3,0.33,12.5,0,8,2.0
36,46,0,2.9,1.035,1.11,6.0,0.073,207.0,54.0,1.03291,3.37,,9.9,1,10,
37,48,4,28.9,0.51,0.49,59.6,0.055,20.0,188.0,0.99066,,0.91,11.0,0,8,2.0
