TARGET,loyalty,ID,age,city,LOR,prod_A,type_A,type_B,prod_B,turnover_A,turnover_B,contract,age_P,lor_M
Y,99,77,66,2,0,0,0,0,0,333.5611143,264.7210102,2,66,3
Y,1,159,45,2,3,1,3,3,1,394.735699,284.9049779,2,45,39
Y,1,220,42,2,2,1,3,6,1,342.1809895,1175.589721,2,42,27
Y,99,303,31,2,0,0,0,0,0,453.757916,242.3417539,2,31,3
Y,99,306,62,2,0,0,0,0,0,384.5774694,287.00837,2,62,3
Y,3,340,24,2,1,1,3,3,1,460.442339,247.4675162,2,24,15
Y,99,353,57,2,0,0,0,0,0,494.4636506,215.9761266,2,57,3
Y,99,371,32,2,0,0,0,0,0,472.6515704,246.2087366,2,32,3
Y,99,530,28,2,0,0,0,0,0,451.7176899,252.7194347,2,28,3
Y,99,549,30,2,0,0,0,0,0,349.2873271,263.2932771,2,30,3
Y,3,600,44,2,1,1,3,3,1,466.8347302,208.0555244,2,44,15
Y,1,631,36,2,2,1,3,3,1,373.6524495,243.1333392,2,36,27
Y,99,653,38,2,0,0,0,0,0,389.7835213,258.6248042,2,38,3
Y,99,669,36,2,0,0,0,0,0,392.3463205,226.2887086,2,36,3
Y,99,726,34,2,0,0,0,0,0,316.3104784,270.7927816,2,34,3
Y,1,731,51,2,1,1,3,3,1,381.6036232,250.9613893,2,51,15
Y,3,792,27,2,1,1,3,3,1,452.1698342,242.6764859,2,27,15
Y,99,818,56,2,0,0,0,0,0,440.6616988,281.2368979,2,56,3
Y,99,940,30,2,0,0,0,0,0,383.7094025,218.6528919,2,30,3
Y,99,990,48,2,0,0,0,0,0,386.8634568,201.4714787,2,48,3
Y,99,1000,54,2,0,0,0,0,0,421.4689982,226.8823921,2,54,3
Y,1,1131,61,2,5,0,0,3,1,300.5570409,273.8676597,2,61,63
Y,99,1134,32,2,0,0,0,0,0,466.5700511,299.4108318,2,32,3
Y,99,1136,37,2,0,0,0,0,0,441.1278752,210.4919186,2,37,3
Y,1,1187,49,2,1,1,3,3,1,452.5061844,232.742635,2,49,15
Y,99,1193,38,2,0,0,0,0,0,397.1023713,215.11293,2,38,3
Y,99,1271,23,2,1,1,3,3,1,304.7897278,293.8870767,2,23,15
Y,3,1411,54,2,1,1,3,3,1,355.6220259,297.9496636,2,54,15
Y,99,1447,43,2,0,0,0,0,0,303.0967164,244.7122197,2,43,3
Y,99,1449,70,2,0,0,0,0,0,319.8338799,265.3952446,2,70,3
Y,99,1478,38,2,0,0,0,0,0,491.1568131,294.0467147,2,38,3
Y,3,1510,37,2,1,1,3,3,1,462.7292178,286.3935729,2,37,15
Y,1,1547,34,2,3,1,3,3,1,326.2758777,205.4557301,2,34,39
Y,99,1576,38,2,2,1,3,3,1,324.9569917,200.5943007,2,38,27
Y,99,1596,34,2,0,0,0,0,0,332.1253774,241.2361839,2,34,3
Y,99,1643,54,2,0,0,0,0,0,480.5078757,272.2478773,2,54,3
Y,99,1772,25,2,0,0,0,0,0,326.357817,247.7666293,2,25,3
Y,1,1773,43,2,2,1,3,3,1,340.4123823,266.4347666,2,43,27
Y,99,1868,54,2,0,0,0,0,0,354.8859376,266.1983364,2,54,3
Y,99,1974,45,2,0,0,0,0,0,310.5550033,251.3612165,2,45,3
Y,99,2025,43,2,0,0,0,0,0,351.479835,274.147501,2,43,3
Y,3,2046,35,2,1,1,3,3,1,348.9546279,271.8421325,2,35,15
Y,1,2277,31,2,3,1,3,3,1,351.4572905,250.8053814,2,31,39
Y,3,2297,30,2,1,1,3,3,1,354.4795868,213.0008077,2,30,15
Y,99,2331,38,2,0,0,0,0,0,332.9351791,215.6123095,2,38,3
Y,99,2471,60,2,1,1,3,3,1,371.1465343,263.9800484,2,60,15
Y,99,2526,36,2,1,1,3,3,1,485.28443,212.9989517,2,36,15
Y,1,2540,37,2,4,1,3,3,1,429.1162989,269.3485575,2,37,51
Y,99,2570,24,2,0,0,0,0,0,466.0769914,235.4891159,2,24,3
Y,3,2604,41,2,1,1,3,3,1,347.6353013,215.0802201,2,41,15
Y,99,2610,51,2,1,0,0,0,0,449.2298674,242.2175531,2,51,15
Y,99,2638,39,2,0,0,0,0,0,407.5736519,206.5826993,2,39,3
Y,1,2680,41,2,1,1,3,3,1,358.5428864,264.5672595,2,41,15
